ID,carat,cut,colour,clarity,depth,price,x,y,P,PC
15439,1.05,Premium,G,VS2,61.8,6181,5886.666667,100.0161812,Negative,Negative
15440,1.2,Premium,F,VS2,61.4,6182,5151.666667,100.6840391,Negative,Negative
15441,1.2,Good,H,SI1,64.2,6182,5151.666667,96.29283489,Negative,Negative
15442,1,Good,F,VS2,63.2,6183,6183,97.83227848,SN,SN
15443,1,Very Good,F,VS2,62.2,6183,6183,99.40514469,Negative,Negative
15444,1,Good,H,VVS1,63.5,6183,6183,97.37007874,SN,SN
15445,1,Very Good,F,VS2,62.9,6183,6183,98.29888712,SN,SN
15446,1.53,Premium,G,I1,62.8,6183,4041.176471,98.45541401,Positve,Positve
15447,1.23,Ideal,I,SI1,61.1,6183,5026.829268,101.1947627,NR,NR
15448,1.03,Premium,E,VS2,62.5,6183,6002.912621,98.928,NR,NR
15449,1.03,Ideal,F,SI1,62.1,6183,6002.912621,99.56521739,SP,SP
15450,1.22,Premium,H,VS2,62.7,6184,5068.852459,98.62838915,SN,SN
15451,1.54,Ideal,G,I1,61.6,6186,4016.883117,100.4220779,SN,SN
15452,1.26,Ideal,J,VVS1,61.4,6186,4909.52381,100.7491857,Negative,Negative
15453,1,Good,G,VS1,63.9,6187,6187,96.82316119,Negative,Negative
15454,1.3,Premium,I,SI1,58.1,6188,4760,106.5060241,Negative,Negative
15455,1.21,Very Good,H,VS2,62.9,6189,5114.876033,98.39427663,Negative,Negative
15456,1.21,Very Good,H,VS2,62.9,6189,5114.876033,98.39427663,SN,SN
15457,1,Good,D,VS2,60.8,6189,6189,101.7927632,Negative,Negative
15458,1,Good,D,VS2,62.8,6189,6189,98.55095541,SN,SN
15459,1,Very Good,D,VS2,61.2,6190,6190,101.1437908,SN,SN
15460,1.21,Very Good,G,SI1,62.2,6190,5115.702479,99.51768489,SP,SP
15461,1.33,Ideal,J,VS1,62.4,6190,4654.135338,99.19871795,NR,NR
15462,1.21,Ideal,D,SI2,62,6190,5115.702479,99.83870968,NR,NR
15463,1.18,Ideal,I,VS2,62.3,6191,5246.610169,99.37399679,NR,NR
15464,1.02,Ideal,D,SI1,62.3,6191,6069.607843,99.37399679,Negative,Negative
15465,1.2,Very Good,I,VS1,62.6,6192,5160,98.91373802,Positive,Positive
15466,1,Good,F,VS2,62.4,6192,6192,99.23076923,Positve,Positve
15467,1.14,Very Good,F,SI1,61.3,6194,5433.333333,101.0440457,NR,NR
15468,1.21,Very Good,H,SI1,62.2,6194,5119.008264,99.58199357,NR,NR
15469,1,Good,H,VVS2,63.7,6194,6194,97.23704867,SP,SP
15470,1.54,Premium,J,VS1,60.9,6194,4022.077922,101.7077176,SN,SN
15471,1.58,Premium,F,SI2,59.1,6194,3920.253165,104.8054146,SN,SN
15472,1.02,Very Good,F,SI1,60.2,6195,6073.529412,102.9069767,Negative,Negative
15473,1.01,Very Good,F,VS2,59.1,6196,6134.653465,104.8392555,Negative,Negative
15474,1,Very Good,D,SI1,60.3,6196,6196,102.7529022,Negative,Negative
15475,1.05,Ideal,D,SI1,60.7,6196,5900.952381,102.0757825,Negative,Negative
15476,1.19,Premium,H,VS2,62.6,6198,5208.403361,99.00958466,SN,SN
15477,1.2,Very Good,H,SI1,62.4,6199,5165.833333,99.34294872,Negative,Negative
15478,1.23,Premium,I,VS2,59.3,6199,5039.837398,104.5362563,SN,SN
15479,1.23,Ideal,H,SI2,60.6,6199,5039.837398,102.2937294,SN,SN
15480,1.35,Ideal,I,SI1,62.3,6199,4591.851852,99.5024077,Positve,Positve
15481,1.23,Ideal,H,SI2,62.1,6199,5039.837398,99.82286634,NR,NR
15482,1.07,Ideal,F,SI1,62.3,6200,5794.392523,99.51845907,NR,NR
15483,1.22,Ideal,J,VS1,61.4,6201,5082.786885,100.9934853,SP,SP
15484,1.54,Premium,J,VS2,59.3,6202,4027.272727,104.5868465,SN,SN
15485,1.16,Premium,H,VS2,62.3,6202,5346.551724,99.5505618,SN,SN
15486,1.33,Very Good,I,VS2,62.5,6203,4663.909774,99.248,Negative,Negative
15487,1.08,Ideal,D,SI1,61.3,6203,5743.518519,101.1908646,Negative,Negative
15488,1.01,Very Good,G,VS2,62.5,6204,6142.574257,99.264,Negative,Negative
15489,1.01,Very Good,F,VS2,59.2,6204,6142.574257,104.7972973,Negative,Negative
15490,1.02,Very Good,H,VS1,61.4,6204,6082.352941,101.0423453,SN,SN
15491,1.04,Premium,G,VS2,62.3,6206,5967.307692,99.61476726,Negative,Negative
15492,1.23,Premium,I,VS2,61.1,6206,5045.528455,101.5711948,SN,SN
15493,1,Very Good,E,SI1,61.4,6207,6207,101.0912052,SN,SN
15494,1,Very Good,G,VS2,62.7,6208,6208,99.01116427,SP,SP
15495,0.9,Very Good,D,VS1,62.2,6208,6897.777778,99.80707395,NR,NR
15496,1,Premium,G,VVS2,62.8,6209,6209,98.86942675,NR,NR
15497,1.12,Ideal,G,VS2,62.1,6209,5543.75,99.98389694,NR,NR
15498,1,Ideal,F,VS2,62.8,6209,6209,98.86942675,Negative,Negative
15499,1,Premium,F,VS2,61.6,6209,6209,100.7954545,Positive,Positive
15500,1.1,Premium,D,VS2,60,6209,5644.545455,103.4833333,Positve,Positve
15501,1,Good,F,VS2,63.8,6209,6209,97.31974922,NR,NR
15502,1,Premium,G,VS2,62.9,6209,6209,98.71224165,NR,NR
15503,1.2,Good,F,VS1,64,6209,5174.166667,97.015625,SP,SP
15504,1.5,Fair,I,SI2,68.1,6209,4139.333333,91.17474302,SN,SN
15505,1.2,Ideal,I,VS1,62.1,6210,5175,100,SN,SN
15506,1.28,Premium,H,SI1,62.1,6210,4851.5625,100,Negative,Negative
15507,1,Fair,F,VS2,64.9,6210,6210,95.68567026,Negative,Negative
15508,1.06,Very Good,G,VS2,60.1,6212,5860.377358,103.3610649,Negative,Negative
15509,1.06,Good,G,VS2,63.1,6212,5860.377358,98.44690967,Negative,Negative
15510,1.01,Very Good,G,VS2,60.2,6213,6151.485149,103.2059801,SN,SN
15511,1.07,Premium,G,VS2,61.9,6213,5806.542056,100.371567,Negative,Negative
15512,1.03,Premium,G,VS2,62.3,6214,6033.009709,99.74317817,SN,SN
15513,1.52,Premium,I,SI2,62.2,6214,4088.157895,99.90353698,SN,SN
15514,1.24,Premium,H,SI1,60.1,6215,5012.096774,103.4109817,Positve,Positve
15515,1.02,Premium,E,VS2,61.9,6215,6093.137255,100.4038772,NR,NR
15516,1.51,Good,J,SI2,58.1,6215,4115.89404,106.9707401,NR,NR
15517,1.48,Premium,H,SI2,59.7,6216,4200,104.120603,SP,SP
15518,1,Premium,G,VS2,61.6,6216,6216,100.9090909,SN,SN
15519,1.22,Premium,I,VS2,60.3,6217,5095.901639,103.1011609,SN,SN
15520,1.06,Very Good,G,VS2,59.4,6217,5865.09434,104.6632997,Negative,Negative
15521,1.03,Very Good,F,VS2,63.4,6218,6036.893204,98.07570978,Negative,Negative
15522,1.02,Premium,F,VS2,62.7,6220,6098.039216,99.20255183,Negative,Negative
15523,1.01,Premium,G,VS1,62.7,6221,6159.405941,99.2185008,Negative,Negative
15524,1.01,Very Good,E,VS2,62.9,6221,6159.405941,98.90302067,SN,SN
15525,1.01,Very Good,E,VS2,63,6221,6159.405941,98.74603175,Negative,Negative
15526,1.01,Good,E,VS2,62.5,6221,6159.405941,99.536,SN,SN
15527,1.01,Good,E,VS2,63.7,6221,6159.405941,97.66091052,SN,SN
15528,1.01,Good,E,VS2,62.6,6221,6159.405941,99.37699681,SP,SP
15529,1.32,Fair,E,SI2,65.2,6221,4712.878788,95.41411043,NR,NR
15530,1.12,Ideal,H,VS2,61.8,6222,5555.357143,100.6796117,NR,NR
15531,1,Good,F,VS2,63.1,6223,6223,98.62123613,NR,NR
15532,1.62,Good,J,SI2,64.2,6223,3841.358025,96.93146417,Negative,Negative
15533,1.21,Premium,E,SI2,61.5,6223,5142.975207,101.1869919,Positive,Positive
15534,1.47,Premium,J,SI2,60,6223,4233.333333,103.7166667,Positve,Positve
15535,1.05,Very Good,E,SI1,59.7,6224,5927.619048,104.2546064,NR,NR
15536,1.5,Premium,G,SI2,61.8,6224,4149.333333,100.7119741,NR,NR
15537,1.5,Good,I,SI1,63.8,6224,4149.333333,97.55485893,SP,SP
15538,1.09,Ideal,I,VS1,61.8,6225,5711.009174,100.7281553,SN,SN
15539,1.09,Ideal,I,VS1,61.4,6225,5711.009174,101.3843648,SN,SN
15540,1.31,Ideal,H,SI2,62.3,6225,4751.908397,99.91974318,Negative,Negative
15541,1.21,Very Good,H,SI1,60.2,6229,5147.933884,103.4717608,Negative,Negative
15542,1.03,Premium,G,VS2,58.9,6229,6047.572816,105.7555178,Negative,Negative
15543,1.03,Ideal,G,VS2,60.3,6229,6047.572816,103.3001658,Negative,Negative
15544,1.25,Premium,H,SI2,62.2,6230,4984,100.1607717,SN,SN
15545,0.9,Ideal,E,VS1,61.7,6230,6922.222222,100.9724473,Negative,Negative
15546,1.24,Ideal,I,SI1,62,6232,5025.806452,100.516129,SN,SN
15547,1.07,Premium,E,VS2,62.5,6232,5824.299065,99.712,SN,SN
15548,1.04,Very Good,G,VS2,63.4,6232,5992.307692,98.29652997,Positve,Positve
15549,1.23,Very Good,F,SI2,61.9,6233,5067.479675,100.6946688,NR,NR
15550,1,Ideal,G,VS2,58.9,6235,6235,105.8573854,NR,NR
15551,1.31,Premium,J,VS1,62.3,6236,4760.305344,100.0963082,SP,SP
15552,1.31,Premium,H,SI2,61.4,6236,4760.305344,101.5635179,SN,SN
15553,1.28,Premium,G,SI2,62.6,6236,4871.875,99.61661342,SN,SN
15554,1.34,Very Good,J,VS1,61.7,6237,4654.477612,101.0858995,Negative,Negative
15555,1.34,Very Good,J,VS1,63,6237,4654.477612,99,Negative,Negative
15556,1.22,Premium,E,SI2,61.5,6237,5112.295082,101.4146341,Negative,Negative
15557,0.9,Ideal,G,VVS1,62.9,6237,6930,99.15739269,Negative,Negative
15558,1.53,Good,I,SI2,63.9,6238,4077.124183,97.62128326,SN,SN
15559,1.02,Premium,G,VS1,62,6238,6115.686275,100.6129032,Negative,Negative
15560,1.02,Premium,F,VS1,61.4,6238,6115.686275,101.5960912,SN,SN
15561,1.01,Very Good,G,VS1,60.5,6239,6177.227723,103.1239669,SN,SN
15562,1.01,Very Good,G,VS1,60.7,6239,6177.227723,102.7841845,SP,SP
15563,1.01,Premium,G,VS1,59.9,6239,6177.227723,104.1569282,NR,NR
15564,1.01,Ideal,G,VS2,61.6,6239,6177.227723,101.2824675,NR,NR
15565,1.26,Ideal,H,SI2,62,6239,4951.587302,100.6290323,NR,NR
15566,1.06,Ideal,G,VS2,61.8,6240,5886.792453,100.9708738,Negative,Negative
15567,1.03,Ideal,G,VS2,61.8,6241,6059.223301,100.987055,Positive,Positive
15568,1.11,Ideal,D,SI2,61.3,6241,5622.522523,101.8107667,Positve,Positve
15569,1.01,Premium,F,VS2,62.3,6244,6182.178218,100.2247191,NR,NR
15570,1.01,Premium,F,VS2,61.5,6244,6182.178218,101.5284553,NR,NR
15571,1,Very Good,E,VS2,62.9,6245,6245,99.2845787,SP,SP
15572,1.56,Good,I,SI1,64,6246,4003.846154,97.59375,SN,SN
15573,1.56,Good,G,SI2,63.7,6246,4003.846154,98.0533752,SN,SN
15574,1.3,Premium,I,VS2,62.7,6246,4804.615385,99.61722488,Negative,Negative
15575,1.01,Good,G,VS1,58.7,6247,6185.148515,106.4224872,Negative,Negative
15576,1,Good,E,VS2,62.4,6248,6248,100.1282051,Negative,Negative
15577,1.21,Very Good,D,SI2,62.4,6248,5163.636364,100.1282051,Negative,Negative
15578,1,Very Good,H,VVS2,62.6,6249,6249,99.82428115,SN,SN
15579,1.06,Ideal,F,SI1,61.7,6249,5895.283019,101.280389,Negative,Negative
15580,1.03,Ideal,D,SI1,61.9,6250,6067.961165,100.9693053,SN,SN
15581,1.01,Good,E,VS2,60.8,6250,6188.118812,102.7960526,SN,SN
15582,1.22,Good,H,SI2,63.5,6250,5122.95082,98.42519685,Positve,Positve
15583,1.2,Premium,H,VS2,60.7,6250,5208.333333,102.9654036,NR,NR
15584,1.2,Premium,F,SI1,62.4,6250,5208.333333,100.1602564,NR,NR
15585,1.2,Premium,I,VS1,59.9,6250,5208.333333,104.3405676,SP,SP
15586,1,Good,D,VS1,64,6250,6250,97.65625,SN,SN
15587,1.5,Premium,H,SI2,61.1,6250,4166.666667,102.2913257,SN,SN
15588,1.5,Fair,H,SI2,64.6,6250,4166.666667,96.74922601,Negative,Negative
15589,1.39,Ideal,J,VS2,60.3,6252,4497.841727,103.681592,Negative,Negative
15590,1.35,Premium,J,VS2,60.5,6254,4632.592593,103.3719008,Negative,Negative
15591,1.24,Ideal,H,SI1,61.3,6254,5043.548387,102.0228385,Negative,Negative
15592,1.04,Ideal,H,VS1,62.2,6255,6014.423077,100.562701,SN,SN
15593,1.05,Ideal,H,SI1,61.3,6255,5957.142857,102.0391517,Negative,Negative
15594,1.53,Ideal,I,SI2,61.8,6255,4088.235294,101.2135922,SN,SN
15595,1.14,Premium,G,VS2,61.9,6256,5487.719298,101.0662359,SN,SN
15596,1.14,Premium,D,SI1,58.9,6256,5487.719298,106.2139219,SP,SP
15597,1.33,Premium,E,SI2,61,6256,4703.759398,102.557377,NR,NR
15598,1.24,Premium,I,VS2,60.2,6257,5045.967742,103.9368771,NR,NR
15599,1.01,Very Good,F,VS2,58.8,6257,6195.049505,106.4115646,NR,NR
15600,1.01,Very Good,F,VS2,59.2,6257,6195.049505,105.6925676,Negative,Negative
15601,1.01,Very Good,G,VVS2,61.9,6257,6195.049505,101.082391,Positive,Positive
15602,1.01,Ideal,D,SI1,62.2,6257,6195.049505,100.5948553,Positve,Positve
15603,1.09,Ideal,D,SI1,62.8,6259,5742.201835,99.6656051,NR,NR
15604,1.04,Ideal,E,SI1,62.6,6260,6019.230769,100,NR,NR
15605,1.38,Ideal,J,SI1,61.8,6260,4536.231884,101.2944984,SP,SP
15606,1.37,Premium,G,SI2,62.4,6260,4569.343066,100.3205128,SN,SN
15607,1.3,Premium,F,SI2,61.1,6261,4816.153846,102.4713584,SN,SN
15608,1.21,Premium,E,SI1,60,6261,5174.380165,104.35,Negative,Negative
15609,1.21,Premium,E,SI1,63,6261,5174.380165,99.38095238,Negative,Negative
15610,1.54,Good,E,I1,63.3,6261,4065.584416,98.90995261,Negative,Negative
15611,1.21,Ideal,F,VS2,62.6,6261,5174.380165,100.0159744,Negative,Negative
15612,1,Ideal,E,VS2,62,6261,6261,100.983871,SN,SN
15613,1.07,Very Good,H,VS1,62.5,6262,5852.336449,100.192,Negative,Negative
15614,1.12,Very Good,F,SI1,62.9,6262,5591.071429,99.55484897,SN,SN
15615,1,Very Good,G,VS1,62.4,6263,6263,100.3685897,SN,SN
15616,1.31,Very Good,H,SI2,61.7,6263,4780.916031,101.5072934,Positve,Positve
15617,1.02,Ideal,H,SI1,61.8,6264,6141.176471,101.3592233,NR,NR
15618,1.01,Very Good,E,VS2,61.7,6265,6202.970297,101.5397083,NR,NR
15619,1.51,Good,I,SI1,63.8,6266,4149.668874,98.21316614,SP,SP
15620,1.51,Premium,G,SI2,60,6266,4149.668874,104.4333333,SN,SN
15621,1,Good,F,VS2,63.3,6267,6267,99.00473934,SN,SN
15622,1.01,Very Good,F,VS2,63.1,6267,6204.950495,99.318542,Negative,Negative
15623,1.01,Very Good,E,SI1,60.8,6268,6205.940594,103.0921053,Negative,Negative
15624,1,Fair,E,VS2,57.4,6268,6268,109.1986063,Negative,Negative
15625,1.01,Very Good,D,SI1,61.4,6270,6207.920792,102.1172638,Negative,Negative
15626,1.01,Very Good,D,SI1,63.6,6270,6207.920792,98.58490566,SN,SN
15627,1.01,Fair,G,VS2,59.1,6271,6208.910891,106.108291,Negative,Negative
15628,1.01,Premium,F,VS2,62.4,6271,6208.910891,100.4967949,SN,SN
15629,1.01,Premium,F,VS2,58.9,6271,6208.910891,106.4685908,SN,SN
15630,1.01,Premium,F,VS2,62.7,6271,6208.910891,100.015949,SP,SP
15631,1.01,Premium,F,VS2,62.3,6271,6208.910891,100.6581059,NR,NR
15632,1.01,Good,F,VS2,60.8,6271,6208.910891,103.1414474,NR,NR
15633,1.01,Very Good,F,VS2,63.1,6271,6208.910891,99.38193344,NR,NR
15634,1.01,Premium,F,VS2,61.3,6271,6208.910891,102.3001631,Negative,Negative
15635,1.01,Fair,F,VS2,61.1,6271,6208.910891,102.6350245,Positive,Positive
15636,1.01,Premium,D,VS2,61.6,6271,6208.910891,101.8019481,Positve,Positve
15637,1.01,Premium,F,VS2,62.5,6271,6208.910891,100.336,NR,NR
15638,1.01,Ideal,G,VS2,61.6,6271,6208.910891,101.8019481,NR,NR
15639,1.01,Premium,F,VS2,60.4,6271,6208.910891,103.8245033,SP,SP
15640,1,Premium,E,VS2,62.8,6272,6272,99.87261146,SN,SN
15641,1.18,Ideal,I,VS1,62.2,6272,5315.254237,100.8360129,SN,SN
15642,1,Premium,G,VS2,61.6,6272,6272,101.8181818,Negative,Negative
15643,1.6,Fair,F,SI2,65,6272,3920,96.49230769,Negative,Negative
15644,1,Good,E,VS2,57.4,6272,6272,109.2682927,Negative,Negative
15645,1,Ideal,G,VS2,62.3,6272,6272,100.6741573,Negative,Negative
15646,1,Premium,G,VS2,60.1,6272,6272,104.359401,SN,SN
15647,1,Good,E,VS2,63.8,6272,6272,98.30721003,Negative,Negative
15648,1,Premium,E,VS2,59.9,6272,6272,104.7078464,SN,SN
15649,1.07,Very Good,G,VS2,62.3,6274,5863.551402,100.70626,SN,SN
15650,1.07,Premium,F,VS2,62.4,6274,5863.551402,100.5448718,Positve,Positve
15651,1.19,Ideal,H,SI1,62,6275,5273.109244,101.2096774,NR,NR
15652,1,Good,E,SI1,61.1,6275,6275,102.700491,NR,NR
15653,1.26,Ideal,F,SI2,62.7,6277,4981.746032,100.1116427,SP,SP
15654,1.54,Premium,I,SI2,61.5,6278,4076.623377,102.0813008,SN,SN
15655,1.22,Very Good,G,SI1,63.4,6278,5145.901639,99.02208202,SN,SN
15656,1.04,Premium,F,VS2,59.6,6278,6036.538462,105.3355705,Negative,Negative
15657,1.04,Premium,H,VVS2,59.1,6278,6036.538462,106.2267343,Negative,Negative
15658,1.36,Very Good,H,SI2,61.5,6279,4616.911765,102.097561,Negative,Negative
15659,1.05,Ideal,I,VS2,62.2,6279,5980,100.9485531,Negative,Negative
15660,1.21,Ideal,I,VS1,60.3,6279,5189.256198,104.1293532,SN,SN
15661,1,Good,E,VS2,60.7,6279,6279,103.4431631,Negative,Negative
15662,1.29,Premium,I,VS2,62.2,6279,4867.44186,100.9485531,SN,SN
15663,1.35,Ideal,J,SI1,62.3,6281,4652.592593,100.8186196,SN,SN
15664,1.2,Premium,H,SI1,60.8,6282,5235,103.3223684,SP,SP
15665,1,Very Good,F,VS2,62.5,6283,6283,100.528,NR,NR
15666,1.32,Premium,I,SI1,62.2,6283,4759.848485,101.0128617,NR,NR
15667,1.01,Good,G,VS1,63.8,6283,6220.792079,98.47962382,NR,NR
15668,1.1,Premium,G,VS2,60.5,6284,5712.727273,103.8677686,Negative,Negative
15669,1,Very Good,E,VS2,64,6285,6285,98.203125,Positive,Positive
15670,1,Fair,E,VS2,57.3,6285,6285,109.6858639,Positve,Positve
15671,1.18,Very Good,G,SI1,60.8,6286,5327.118644,103.3881579,NR,NR
15672,1.04,Ideal,G,VS2,62,6286,6044.230769,101.3870968,NR,NR
15673,1.04,Ideal,G,VS2,59.4,6286,6044.230769,105.8249158,SP,SP
15674,1.01,Very Good,F,VS2,58.8,6288,6225.742574,106.9387755,SN,SN
15675,1.01,Very Good,F,VS2,60.8,6288,6225.742574,103.4210526,SN,SN
15676,1.01,Very Good,F,VS2,59.4,6288,6225.742574,105.8585859,Negative,Negative
15677,1.23,Ideal,E,SI2,61.2,6288,5112.195122,102.745098,Negative,Negative
15678,1.32,Ideal,J,VS2,62.3,6288,4763.636364,100.9309791,Negative,Negative
15679,1.09,Ideal,H,VS2,61.3,6288,5768.807339,102.5774878,Negative,Negative
15680,1.01,Good,F,VS2,61.7,6288,6225.742574,101.9124797,SN,SN
15681,1.01,Good,F,VS2,62.1,6288,6225.742574,101.2560386,Negative,Negative
15682,1.22,Premium,G,SI1,62.3,6288,5154.098361,100.9309791,SN,SN
15683,0.9,Very Good,E,VVS2,62.2,6289,6987.777778,101.1093248,SN,SN
15684,1.01,Very Good,F,VS2,63.7,6289,6226.732673,98.72841444,Positve,Positve
15685,2.49,Fair,J,I1,66.3,6289,2525.702811,94.85671192,NR,NR
15686,1.23,Ideal,D,SI2,60.6,6289,5113.00813,103.7788779,NR,NR
15687,1.23,Ideal,D,SI2,62.4,6289,5113.00813,100.7852564,SP,SP
15688,1.3,Very Good,I,VS2,62.7,6290,4838.461538,100.3189793,SN,SN
15689,1.04,Ideal,G,VS2,61.4,6290,6048.076923,102.4429967,SN,SN
15690,1.04,Premium,G,VS2,62.5,6290,6048.076923,100.64,Negative,Negative
15691,0.29,Ideal,G,VVS2,61.4,607,2093.103448,9.885993485,Negative,Negative
15692,0.29,Ideal,G,VVS2,60.7,607,2093.103448,10,Negative,Negative
15693,0.29,Ideal,G,VVS2,61.9,607,2093.103448,9.806138934,Negative,Negative
15694,0.36,Ideal,I,VVS1,61.6,607,1686.111111,9.853896104,SN,SN
15695,0.29,Ideal,H,VVS1,62.1,607,2093.103448,9.774557166,Negative,Negative
15696,0.29,Ideal,G,VVS1,62.3,607,2093.103448,9.74317817,SN,SN
15697,0.29,Ideal,G,VVS1,62.8,607,2093.103448,9.665605096,SN,SN
15698,0.35,Ideal,F,SI1,61.5,607,1734.285714,9.869918699,SP,SP
15699,0.29,Ideal,H,IF,62.2,607,2093.103448,9.758842444,NR,NR
15700,0.29,Ideal,H,IF,60.7,607,2093.103448,10,NR,NR
15701,0.29,Ideal,H,IF,62.1,607,2093.103448,9.774557166,NR,NR
15702,0.34,Ideal,G,SI1,62.7,607,1785.294118,9.681020734,Negative,Negative
15703,0.31,Good,F,VS1,63.9,607,1958.064516,9.499217527,Positive,Positive
15704,0.24,Very Good,F,VVS2,61.8,608,2533.333333,9.838187702,Positve,Positve
15705,0.24,Very Good,F,VVS2,61.7,608,2533.333333,9.854132901,NR,NR
15706,0.24,Very Good,F,VVS2,60.6,608,2533.333333,10.0330033,NR,NR
15707,0.24,Very Good,E,VVS2,62.2,608,2533.333333,9.774919614,SP,SP
15708,0.24,Very Good,E,VVS2,62.4,608,2533.333333,9.743589744,SN,SN
15709,0.24,Very Good,F,VVS1,62.2,608,2533.333333,9.774919614,SN,SN
15710,0.24,Very Good,F,VVS1,62.3,608,2533.333333,9.759229535,Negative,Negative
15711,0.24,Very Good,F,VVS1,60.4,608,2533.333333,10.06622517,Negative,Negative
15712,0.24,Very Good,F,VVS1,62.5,608,2533.333333,9.728,Negative,Negative
15713,0.37,Very Good,H,VS2,63.5,608,1643.243243,9.57480315,Negative,Negative
15714,0.37,Ideal,G,SI1,61,608,1643.243243,9.967213115,SN,SN
15715,0.36,Premium,G,SI2,59.3,608,1688.888889,10.2529511,Negative,Negative
15716,0.36,Premium,G,SI2,62.4,608,1688.888889,9.743589744,SN,SN
15717,0.36,Premium,G,SI2,60.8,608,1688.888889,10,SN,SN
15718,0.36,Premium,G,SI2,61.9,608,1688.888889,9.822294023,Positve,Positve
15719,0.3,Premium,H,VS2,61.1,608,2026.666667,9.950900164,NR,NR
15720,0.3,Ideal,I,VS1,61.6,608,2026.666667,9.87012987,NR,NR
15721,1.04,Ideal,G,VS2,61.8,6290,6048.076923,101.7799353,SP,SP
15722,1.04,Ideal,G,VS2,61.9,6290,6048.076923,101.6155089,SN,SN
15723,1,Premium,G,VS1,62.4,6290,6290,100.8012821,SN,SN
15724,1.04,Ideal,G,VS2,62.6,6290,6048.076923,100.4792332,Negative,Negative
15725,1.04,Premium,G,VS2,62.6,6290,6048.076923,100.4792332,Negative,Negative
15726,1,Ideal,G,VS1,62.9,6290,6290,100,Negative,Negative
15727,1,Premium,G,VS1,62.3,6290,6290,100.9630819,Negative,Negative
15728,1.01,Very Good,G,VS2,63.5,6291,6228.712871,99.07086614,SN,SN
15729,1.23,Premium,H,VS2,61.4,6291,5114.634146,102.4592834,Negative,Negative
15730,1.51,Fair,H,SI2,65.4,6291,4166.225166,96.19266055,SN,SN
15731,0.95,Ideal,F,SI1,61.7,6291,6622.105263,101.9611021,SN,SN
15732,1.51,Fair,H,SI2,64.5,6291,4166.225166,97.53488372,SP,SP
15733,1.11,Ideal,E,SI1,61.4,6291,5667.567568,102.4592834,NR,NR
15734,1.21,Ideal,I,VS1,60.5,6292,5200,104,NR,NR
15735,1.03,Very Good,H,VS1,61.9,6294,6110.679612,101.6801292,NR,NR
15736,1.32,Very Good,G,SI2,62.9,6294,4768.181818,100.063593,Negative,Negative
15737,1.01,Ideal,G,VS2,62,6295,6232.673267,101.5322581,Positive,Positive
15738,1.01,Ideal,G,VS2,59.6,6295,6232.673267,105.6208054,Positve,Positve
15739,1.01,Ideal,G,VS2,62,6295,6232.673267,101.5322581,NR,NR
15740,1.01,Ideal,G,VS2,60.6,6295,6232.673267,103.8778878,NR,NR
15741,1,Very Good,G,VS2,60.8,6296,6296,103.5526316,SP,SP
15742,1.06,Premium,G,VS2,60.4,6296,5939.622642,104.2384106,SN,SN
15743,1,Very Good,H,VVS1,63.5,6296,6296,99.1496063,SN,SN
15744,1,Premium,F,VS2,62.9,6296,6296,100.0953895,Negative,Negative
15745,1,Premium,F,VS2,62.2,6296,6296,101.221865,Negative,Negative
15746,1,Very Good,F,VS2,63.2,6296,6296,99.62025316,Negative,Negative
15747,1.21,Good,J,IF,62.1,6299,5205.785124,101.4331723,Negative,Negative
15748,1.03,Ideal,D,SI1,62.2,6299,6115.533981,101.2700965,SN,SN
15749,1.54,Ideal,G,I1,61.6,6299,4090.25974,102.2564935,Negative,Negative
15750,1.25,Premium,G,SI2,60.4,6300,5040,104.3046358,SN,SN
15751,1.25,Premium,I,VS2,61.2,6300,5040,102.9411765,SN,SN
15752,1.32,Very Good,I,SI2,61.2,6300,4772.727273,102.9411765,Positve,Positve
15753,1.5,Very Good,E,SI2,63.5,6300,4200,99.21259843,NR,NR
15754,1.29,Ideal,H,SI2,61.6,6300,4883.72093,102.2727273,NR,NR
15755,1.15,Ideal,I,SI1,61.9,6300,5478.26087,101.7770598,SP,SP
15756,1.15,Ideal,I,SI1,61.8,6300,5478.26087,101.9417476,SN,SN
15757,1.5,Premium,D,I1,61.7,6300,4200,102.1069692,SN,SN
15758,1.5,Good,E,SI2,61.5,6300,4200,102.4390244,Negative,Negative
15759,1.25,Ideal,G,SI2,61.5,6300,5040,102.4390244,Negative,Negative
15760,1.02,Premium,G,VS2,62.5,6301,6177.45098,100.816,Negative,Negative
15761,1.02,Very Good,G,VS1,62.6,6301,6177.45098,100.6549521,Negative,Negative
15762,1.16,Very Good,F,SI1,63.4,6301,5431.896552,99.38485804,SN,SN
15763,1.21,Ideal,H,VS2,62.9,6302,5208.264463,100.190779,Negative,Negative
15764,1.3,Very Good,I,SI1,62.3,6302,4847.692308,101.1556982,SN,SN
15765,0.9,Ideal,G,VVS2,61.6,6302,7002.222222,102.3051948,SN,SN
15766,1.2,Ideal,I,VS2,61.1,6303,5252.5,103.1587561,SP,SP
15767,1,Premium,D,VS2,61.2,6303,6303,102.9901961,NR,NR
15768,1.34,Ideal,D,I1,61.7,6303,4703.731343,102.1555916,NR,NR
15769,1.18,Ideal,I,VS2,62.3,6304,5342.372881,101.187801,NR,NR
15770,1.02,Ideal,F,VS2,61.5,6306,6182.352941,102.5365854,Negative,Negative
15771,1.5,Good,J,SI2,63.6,6306,4204,99.1509434,Positive,Positive
